internship_title,company_name,location,full_description,required_skills,stipend_inr,duration_months
Python Backend Intern,CodeGenius Solutions,Hyderabad,"Work with our backend team to develop and maintain web applications. You will be responsible for writing clean, efficient Python code, building RESTful APIs using Django or Flask, and interacting with our PostgreSQL database. This role involves debugging, testing, and collaborating on new features.",Python|Django|REST APIs|Git|PostgreSQL,15000,6
Digital Marketing Intern,GrowthHackers Inc.,Remote,"Join our dynamic marketing team to manage social media channels, create engaging content, and assist with SEO/SEM campaigns. You will learn to use tools like Google Analytics and HubSpot to track performance and contribute to our overall digital strategy. Excellent communication skills are a must.",Social Media Marketing|SEO|Content Writing|Canva|Google Analytics,10000,3
Frontend Developer Intern,PixelPerfect UI,Bangalore,"We are looking for a creative frontend intern to help build responsive and user-friendly web interfaces. You will work with modern JavaScript frameworks like React, translate Figma designs into high-quality code, and ensure a seamless user experience across all devices.",HTML|CSS|JavaScript|React|Figma|Git,18000,6
Content Writer Intern,WordWeavers Agency,Remote,"Create compelling blog posts, articles, social media captions, and website copy for our clients. You will be responsible for researching topics, writing SEO-friendly content, and adhering to brand voice guidelines. A strong command of English is required.",Content Writing|SEO|Grammarly|Content Management Systems,8000,4
Data Science Intern,DataLeap Analytics,Bangalore,"Assist our data science team with data cleaning, exploratory data analysis, and building predictive models. You will gain hands-on experience with Python libraries like Pandas, NumPy, and Scikit-learn, and work on real-world business problems.",Python|Pandas|NumPy|Scikit-learn|Jupyter Notebook,20000,6
Social Media Manager Intern,BrandVibe Digital,Mumbai,"Manage and grow the social media presence for our fashion and lifestyle clients. Responsibilities include creating content calendars, designing visuals using Canva, scheduling posts, and engaging with the online community. A keen eye for design and trends is essential.",Social Media Marketing|Canva|Content Creation|Community Management,12000,3
React Native Developer Intern,MobileFirst Tech,Pune,"Work on our cross-platform mobile application using React Native. You will help build new features, fix bugs, and work with native device APIs. This is a great opportunity to learn mobile development from an experienced team.",JavaScript|React Native|Redux|Git|REST APIs,16000,6
SEO Analyst Intern,RankUp Digital,Remote,"Learn the ins and outs of Search Engine Optimization. You will conduct keyword research, perform on-page and off-page SEO audits, analyze competitor strategies, and use tools like Ahrefs and SEMrush to track rankings and performance.",SEO|Keyword Research|Google Analytics|Google Search Console|Ahrefs,9000,6
Java Full Stack Intern,Innovate Corp,Hyderabad,"Contribute to our enterprise-level software projects using Java and Spring Boot for the backend and Angular for the frontend. You will be part of the full software development lifecycle, from planning to deployment.",Java|Spring Boot|Hibernate|Angular|TypeScript|SQL,22000,6
Web Development Intern,Guntur Web Services,Guntur,"We are looking for an enthusiastic web development intern to help us build and maintain websites for local businesses. You will work with HTML, CSS, JavaScript, and a CMS like WordPress. This is a great opportunity to gain hands-on experience.",HTML|CSS|JavaScript|WordPress|PHP,8000,4
Marketing Analyst Intern,MarketPulse Insights,Bangalore,"Support our marketing team by analyzing campaign data, tracking key performance indicators (KPIs), and generating reports. You will use Excel and Google Data Studio to visualize data and provide actionable insights to guide marketing strategy.",Data Analysis|Microsoft Excel|Google Analytics|Google Data Studio|SQL,15000,3
Cloud Engineer Intern (AWS),CloudLeap Solutions,Remote,"Get hands-on experience with Amazon Web Services (AWS). You will assist our DevOps team in managing cloud infrastructure, automating deployments with CI/CD pipelines, and ensuring the scalability and reliability of our services.",AWS|EC2|S3|Linux|Docker|CI/CD,25000,6
Graphic Design Intern,CreativeSpark Studio,Remote,"Create visually stunning graphics for digital marketing campaigns, social media, websites, and branding materials. Proficiency in Adobe Creative Suite (Photoshop, Illustrator) is a must. A strong portfolio is required.",Adobe Photoshop|Adobe Illustrator|Canva|UI/UX Design,10000,3
Android Developer Intern,AppCrafters,Pune,"Join our mobile team to develop native Android applications using Kotlin. You will be involved in the entire app lifecycle, from concept and design to testing and release. You'll work closely with UI/UX designers and backend developers.",Kotlin|Android Studio|XML|REST APIs|Git,17000,6
Product Marketing Intern,FeatureLaunch Co.,Bangalore,"Help us bring new products to market! You will conduct market research, analyze competitor products, assist in creating launch plans, and develop marketing collateral like presentations and one-pagers. This role is a great mix of marketing, strategy, and product.",Market Research|Competitive Analysis|Product Marketing|PowerPoint,18000,6
